scenario,symbol,side,signalTime,entryTime,exitTime,entryPrice,exitPrice,entryFill,exitFill,shockReturn,shockZ,quoteVolumeMultiple,takerImbalance,directionalWick,grossPriceReturn,priceReturnAfterSlippage,fees,fundingReturn,netReturn
base,ETHUSDT,1,1728507299999,1728507300000,1728510900000,2367.41,2377.47,2367.646741,2377.2322529999997,-0.018556016838196254,-7.033393548235276,16.68516395099787,-0.29471834786307094,0.30882352941176805,0.004249369564207184,0.004048539773273463,0.001,0,0.003048539773273463
base,DOGEUSDT,1,1729004699999,1729004700000,1729008300000,0.11199,0.11308,0.11200119900000001,0.113068692,-0.016384372186994723,-4.051347576682788,5.505046513497721,-0.30590095481170776,0.3750000000000023,0.009733011876060349,0.009531085466325973,0.001,-0.0001,0.008431085466325972
base,XRPUSDT,1,1729004999999,1729005000000,1729008600000,0.5329,0.5408,0.53295329,0.54074592,-0.01452810056290963,-4.225337012016609,8.906874622750188,-0.27670605495986056,0.2567567567567598,0.01482454494276575,0.014621600328238893,0.001,-0.0001,0.013521600328238893
base,SOLUSDT,-1,1729006499999,1729006500000,1729010100000,154.4,155.02,154.38456,155.035502,0.014614992310855088,4.0817189456715885,5.000281617440268,0.27795470746884643,0.2500000000000079,-0.00401554404145088,-0.004216367232578344,0.001,0.0001,-0.005116367232578344
base,LTCUSDT,-1,1729216499999,1729216500000,1729220100000,74.71,73.13,74.702529,73.13731299999999,0.014835066403941107,4.767111730226994,6.162831439984748,0.3472170546255886,0.27419354838709753,0.021148440637130173,0.02095265074626862,0.001,0,0.01995265074626862
base,SOLUSDT,1,1729518299999,1729518300000,1729521900000,163.09,164.83,163.106309,164.81351700000002,-0.014548145924384252,-4.625216283933616,8.451853911388605,-0.30191606569250784,0.3233532934131713,0.01066895579128091,0.010466842211480643,0.001,0,0.009466842211480642
base,ETHUSDT,1,1729557299999,1729557300000,1729560900000,2626.54,2640.62,2626.802654,2640.3559379999997,-0.013158607146617636,-5.293392636204303,19.89710243523692,-0.26217071703145634,0.3530550179706927,0.0053606646005770475,0.005159612572859684,0.001,0,0.004159612572859684
base,XRPUSDT,1,1729588199999,1729588200000,1729591800000,0.5362,0.5333,0.53625362,0.53324667,-0.009279947814052739,-4.104849233568123,12.312625505006908,-0.27973891318008015,0.6842105263157874,-0.005408429690413996,-0.005607328114633381,0.001,0,-0.006607328114633381
base,ETHUSDT,1,1729706699999,1729706700000,1729710300000,2465.12,2494.43,2465.366512,2494.1805569999997,-0.01523747756545719,-6.15605858043433,12.23019658816375,-0.31070348698797223,0.41469816272965915,0.011889887713377068,0.01168752997160838,0.001,0,0.010687529971608378
base,BTCUSDT,-1,1729864799999,1729864800000,1729868400000,68314.4,68288.4,68307.56856,68295.22884,0.00827545515475342,4.058137189177168,3.9144284363580946,0.2532195094916001,0.36083213773315914,0.00038059325705852576,0.00018064938132245079,0.001,0,-0.0008193506186775492
base,XRPUSDT,1,1729897799999,1729897800000,1729901400000,0.5068,0.5007,0.50685068,0.50064993,-0.014109581516319778,-6.4272993756694685,11.874637694543814,-0.2810504947619389,0.2826086956521881,-0.012036306235201244,-0.012233879216656085,0.001,-0.00002578,-0.013259659216656085
base,XRPUSDT,1,1730398199999,1730398200000,1730401800000,0.5039,0.5074,0.50395039,0.5073492599999999,-0.0088924605343469,-4.2405820642030525,9.272839499066695,-0.32004783566730044,0.2820512820512784,0.0069458225838459065,0.0067444535562319885,0.001,0,0.0057444535562319885
base,SOLUSDT,1,1730836799999,1730836800000,1730840400000,163.97,166.72,163.986397,166.703328,-0.018010882127886402,-5.036216691929418,7.038523040216519,-0.2567434341924587,0.30454545454545046,0.0167713606147466,0.016568026676017533,0.001,0,0.015568026676017532
base,BTCUSDT,-1,1730860199999,1730860200000,1730863800000,72372.8,73962,72365.56272,73969.3962,0.015448983750613491,6.724526520426002,6.949383510622229,0.3605178867089307,0.2786966589480689,-0.02195852585501723,-0.02216293800140301,0.001,0,-0.02316293800140301
